Time_to_land;Initial_time;ARP_distance;ARP_azimuth;Heading;Altitude;IAS;GS;Barometric_pressure;Wind_direction;Wind_variability;Wind_speed;Visibility;European_airlines;American_airlines;Latam_airlines;Other_airlines;Day_of_the_week;Mix_index;WTC;RWY
1172;67705;67987.00982;208.8843173;171.235191;4495.8;270;398;1017;230;0;8;10000;0;0;0;0;6;100;M;25R
1307;67772;67675.25812;38.40294783;43.27232266;4792.98;266;462;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1165;67713;67998.01805;259.5500674;234.215168;3634.74;245;440;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1096;67887;67977.1353;225.4048539;176.7490082;3596.64;226;444;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1169;68225;67918.91824;225.4482512;215.3541124;5021.58;263;398;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1408;68364;67729.41955;38.37817306;70.60505364;5074.92;244;458;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1139;68472;67788.61063;38.42625371;17.05562545;4579.62;330;472;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
743;68499;67987.63857;276.1047679;268.3025351;2857.5;252;446;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
1138;68564;67977.54894;208.8786509;150.8322524;4770.12;249;428;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
1096;68613;67850.50941;208.9451079;175.8287342;4632.96;270;412;1017;220;0;7;10000;0;0;0;0;6;100;M;25R
1004;68962;67903.92962;225.441795;178.4682764;4130.04;233;430;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
923;69383;67922.38664;225.4388478;179.315414;3741.42;249;408;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
1062;69359;67889.77369;208.9783823;173.4449807;3596.64;261;396;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
956;69962;67875.62977;259.7223109;229.6283663;3131.82;247;428;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
796;70153;67917.57711;236.9557409;211.6516067;1874.52;243;376;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
1033;70592;67876.91369;225.4522282;209.8321016;2895.6;253;428;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
727;71644;67928.36667;275.9420169;274.2740395;2735.58;264;446;1017;230;0;8;10000;0;0;0;1;6;100;M;25R
700;71812;67716.90315;197.6509951;172.7622191;3383.28;275;414;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1015;72401;67326.98406;35.28399907;52.39587832;4770.12;258;458;1017;230;0;9;10000;1;0;0;0;6;100;M;25R
793;73694;67994.61506;207.9889915;172.0781978;3985.26;288;442;1017;230;0;9;10000;0;0;0;0;6;100;M;25R
783;75515;67891.94365;259.7205708;236.7386598;3017.52;252;430;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
788;76414;67970.12021;259.5804252;232.072849;3253.74;264;430;1017;250;0;8;9000;0;0;0;1;6;100;M;25R
772;76813;67959.9392;225.4581264;175.096449;3459.48;240;430;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
938;77648;67849.62195;205.6908191;212.8507264;5280.66;272;408;1017;280;0;4;9000;1;0;0;0;6;100;M;2
858;78089;67811.94883;206.4964046;177.3738678;4107.18;245;440;1017;280;0;4;9000;1;0;0;0;6;100;M;2
899;78065;67790.26581;178.9804212;171.4849854;5135.88;270;392;1017;280;0;4;9000;1;0;0;0;6;100;M;2
1041;78203;67881.00246;215.6291945;178.0801856;4732.02;255;440;1017;280;0;4;9000;1;0;0;0;6;100;M;2
795;78366;67893.87453;292.9535309;274.19402;4221.48;256;430;1017;280;0;4;9000;0;0;0;1;6;100;M;2
863;79809;67716.17942;290.2400903;268.653987;4023.36;268;440;1017;250;0;5;9000;1;0;0;0;6;100;M;2
1154;80580;67963.01031;215.6439636;177.700072;4732.02;249;430;1017;250;0;5;9000;1;0;0;0;6;100;M;2
721;81033;67896.40996;67.24468774;99.52462662;3710.94;250;298;1016;260;40;5;8000;1;0;0;0;6;100;M;2
1198;81026;67970.30594;215.645103;211.5524723;4419.6;282;430;1016;260;40;5;8000;1;0;0;0;6;100;M;2
1322;81541;67769.26876;202.1176793;176.1555968;4732.02;262;430;1016;260;40;5;8000;1;0;0;0;6;100;M;2
706;57617;67958.08114;259.6181185;237.1089646;3307.08;284;412;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
807;80408;67919.8253;65.87943154;99.40580512;4419.6;209;312;1015;240;0;11;10000;1;0;0;0;0;100;M;2
969;80270;67869.7969;224.805216;233.1186991;4968.24;253;456;1015;240;0;11;10000;1;0;0;0;0;100;M;2
749;57616;67916.75948;274.4541514;274.7910948;2910.84;267;382;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
966;77717;67671.8044;293.0036516;283.20783;4160.52;259;396;1014;240;0;11;10000;1;0;0;0;0;100;M;2
653;80341;67860.93214;42.66096013;51.92552234;3413.76;244;488;1015;240;0;11;10000;1;0;0;0;0;100;M;2
643;67518;67951.07635;257.804342;237.3951945;3299.46;274;392;1013;240;0;12;10000;1;0;0;0;0;115.3846154;M;25R
591;74646;67842.91839;243.2770215;221.0189384;3063.24;279;376;1014;240;0;15;10000;1;0;0;0;0;166.6666667;M;25R
741;57613;67943.96483;225.3571595;178.7426734;3025.14;284;398;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1179;79011;67678.9704;178.1743546;173.3367743;4907.28;256;410;1014;240;0;11;10000;1;0;0;0;0;100;M;2
669;57614;67963.58689;207.6581782;148.7841108;4015.74;270;366;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
926;77482;67994.33366;221.8412726;232.2943544;4648.2;286;408;1014;240;0;11;10000;1;0;0;0;0;100;M;2
747;57612;67954.3429;259.6040454;226.1137323;3048;273;350;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1006;65224;67394.32267;130.6243822;109.5248062;5494.02;227;318;1013;250;0;13;10000;1;0;0;0;0;126.6666667;M;25R
1012;79826;67968.48348;65.94968522;135.6248177;3657.6;280;380;1015;240;0;11;10000;1;0;0;0;0;100;M;2
744;57612;67979.7936;259.568392;221.4219971;3131.82;270;380;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
608;57611;67975.08141;250.8522568;208.0286954;3139.44;248;298;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1060;78519;67967.66375;175.8944141;172.0910714;5379.72;238;460;1014;240;0;11;10000;1;0;0;0;0;100;M;2
690;57612;67897.61586;208.3929832;147.1053295;3825.24;248;350;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
617;76836;67915.44339;246.0998405;201.1892721;3055.62;253;472;1014;230;0;16;10000;1;0;0;0;0;100;M;25R
653;72264;67899.44396;276.0725833;272.5340871;3162.3;266;392;1014;260;0;11;10000;1;0;0;0;0;100;M;25R
1174;69992;67764.14443;92.71687534;85.89667347;5707.38;268;398;1013;240;0;12;10000;1;0;0;0;0;100;M;25R
882;79465;67971.25992;42.74405062;52.2535569;4617.72;264;492;1015;240;0;11;10000;1;0;0;0;0;100;M;2
666;57673;67866.8155;217.0073859;176.6514203;3009.9;244;462;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1015;78141;67319.22998;178.989019;173.1551153;5113.02;232;462;1014;240;0;11;10000;1;0;0;0;0;100;M;2
989;57769;67918.59328;94.21340056;90.3745828;5356.86;274;364;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
641;75373;67777.74138;276.0533674;274.1357868;2567.94;266;392;1014;240;0;15;10000;1;0;0;0;0;133.3333333;M;25R
909;77362;67726.44775;219.9153702;213.2610249;5737.86;272;488;1014;230;0;16;10000;1;0;0;0;0;100;M;2
718;58176;67878.11127;195.4075733;172.9254249;3352.8;283;442;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
891;80336;67932.52702;202.0807641;176.6964239;5265.42;238;462;1015;240;0;11;10000;1;0;0;0;0;100;M;2
622;58337;67951.80058;240.2255098;247.287701;3048;263;408;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
696;75702;67875.7078;249.4857806;230.9716889;3360.42;288;398;1014;230;0;16;10000;1;0;0;0;0;100;M;25R
833;58505;67797.63454;10.3006204;273.4345579;4206.24;251;362;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
952;68205;67817.64043;10.29754873;236.7263761;4686.3;200;218;1013;240;0;12;10000;1;0;0;0;0;118.1818182;M;25R
933;59879;67095.61571;10.63603525;353.9012666;4290.06;261;398;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
632;58815;67771.43287;238.6006751;212.1044947;2948.94;257;440;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
882;73389;67849.78579;16.53210639;40.83895778;3436.62;270;332;1014;260;0;11;10000;1;0;0;0;0;100;M;25R
1062;59199;67332.74249;38.40714393;52.15749651;5067.3;248;492;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1105;78252;67900.88594;292.9282727;272.685097;4290.06;261;414;1014;240;0;11;10000;1;0;0;0;0;100;M;2
877;59294;67873.6704;34.50355201;37.09119561;5273.04;278;494;1012;230;0;15;8000;1;0;0;0;0;100;M;25R
1278;79670;67936.69592;215.6654321;177.0384331;4732.02;245;462;1015;240;0;11;10000;1;0;0;0;0;100;M;2
619;59411;67770.00042;212.1900301;177.4244258;3169.92;236;462;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
679;59550;67699.40242;259.9521829;210.6110568;3063.24;253;430;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
1143;77697;67807.10409;224.3436053;234.9524822;4091.94;275;414;1014;240;0;11;10000;1;0;0;0;0;100;M;2
618;59626;67908.89048;225.4185427;181.9599101;3703.32;255;458;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
1253;78777;67983.34278;217.060291;177.3110075;4983.48;255;478;1014;240;0;11;10000;1;0;0;0;0;100;M;2
782;59743;67945.38588;259.651571;199.0163574;3131.82;270;458;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
1241;79192;67850.06841;202.278343;178.430773;5303.52;252;478;1014;240;0;11;10000;1;0;0;0;0;100;M;2
606;60150;67960.30354;240.2396104;233.8382305;2606.04;280;398;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
738;60235;67900.58573;227.4029743;176.9385865;3048;253;456;1012;240;0;18;7000;1;0;0;0;0;100;M;25R
